Date, Close/Last, Volume, Open, High, Low
10/02/2020, 1907.6, 209696, 1911, 1923.6, 1895.2
10/01/2020, 1916.3, 257047, 1891.2, 1917.9, 1890
09/30/2020, 1895.5, 256446, 1903.2, 1908.2, 1885.8
09/29/2020, 1903.2, 213482, 1886.4, 1904.8, 1880.8
09/28/2020, 1882.3, 232907, 1862.7, 1888.2, 1851.1
09/25/2020, 1866.3, 226076, 1872.7, 1879.3, 1854.1
09/24/2020, 1876.9, 338361, 1866.9, 1880.9, 1851
09/23/2020, 1868.4, 402011, 1905.1, 1909.9, 1856
09/22/2020, 1907.6, 279441, 1918.1, 1925.5, 1898.9
09/21/2020, 1910.6, 380526, 1957.3, 1962.9, 1885.4
09/18/2020, 1962.1, 174242, 1951.1, 1968.2, 1951.1
09/17/2020, 1949.9, 263192, 1967.6, 1969.3, 1938.2
09/16/2020, 1970.5, 287073, 1961.4, 1983.8, 1957.2
09/15/2020, 1966.2, 232698, 1966.2, 1982.4, 1955.6
09/14/2020, 1963.7, 196763, 1948.9, 1972.5, 1945.2
09/11/2020, 1947.9, 202859, 1953.8, 1959, 1945.7
09/10/2020, 1964.3, 268963, 1955.3, 1954.9, 1949.9
09/09/2020, 1954.9, 224190, 1939.4, 1959.7, 1926.3
09/08/2020, 1943.2, 412083, 1938, 1948.3, 1911.7
09/04/2020, 1934.3, 300921, 1938, 1945.9, 1923
09/03/2020, 1937.8, 300282, 1948.9, 1956.6, 1927.2
09/02/2020, 1944.7, 326130, 1976.8, 1980.4, 1938.9
09/01/2020, 1978.9, 300227, 1973.7, 2001.2, 1969.2
08/31/2020, 1978.6, 242577, 1973.9, 1985.8, 1962.3
08/28/2020, 1974.9, 329609, 1937.5, 1983, 1928.2
08/27/2020, 1932.6, 461990, 1963, 1987, 1914.7
08/26/2020, 1952.5, 338049, 1939, 1963.4, 1908.4
08/25/2020, 1923.1, 271641, 1935.9, 1944.1, 1919.1
08/24/2020, 1939.2, 284540, 1947.9, 1970.3, 1930.8
08/21/2020, 1947, 352773, 1955.6, 1963.1, 1916.6
08/20/2020, 1946.5, 378970, 1934.4, 1963.1, 1928.9
08/19/2020, 1970.3, 440405, 2010.5, 2015.6, 1930.5
08/18/2020, 2013.1, 358272, 1993.6, 2024.6, 1985.2
08/17/2020, 1998.7, 285580, 1956.4, 2000.8, 1939.1
08/14/2020, 1949.8, 237092, 1963.8, 1970, 1939.1
08/13/2020, 1970.4, 346000, 1927.3, 1974.8, 1923
08/12/2020, 1949, 450394, 1921.6, 1961, 1874.2
08/11/2020, 1946.3, 556617, 2038.4, 2040.5, 1911.3
08/10/2020, 2039.7, 248644, 2044.8, 2060.8, 2027.8
08/07/2020, 2028, 391017, 2076.4, 2082.1, 2024.8
08/06/2020, 2069.4, 307517, 2055, 2081.8, 2049
08/05/2020, 2049.3, 361949, 2037, 2070.3, 2027.5
08/04/2020, 2021, 269790, 1993.5, 2037.7, 1982.6
08/03/2020, 1986.3, 176729, 1997.4, 2009.5, 1975.2
07/31/2020, 1985.9, 275460, 1973.6, 2005.4, 1971.4
07/30/2020, 1966.8, 268606, 1986.4, 1987.3, 1952.3
07/29/2020, 1976.7, 191033, 1971.9, 1998.4, 1955.7
07/28/2020, 1963.9, 154485, 1963.2, 2000, 1927.5
07/27/2020, 1955.4, 127487, 1929, 1971.3, 1926.8
07/24/2020, 1897.5, 288088, 1884.9, 1904.6, 1880.5
